state,total,white,black,other race
Federal,0,0,0,0
Maine,0,0,0,0
New Hampshire,0,0,0,0
Vermont,0,0,0,0
Massachusetts,0,0,0,0
Rhode Island,2,0,2,0
Connecticut,0,0,0,0
New York,0,0,0,0
New Jersey,0,0,0,0
Pennsylvania,0,0,0,0
Ohio,0,0,0,0
Indiana,2,0,2,0
Illinois,5,4,1,0
Michigan,0,0,0,0
Wisconsin,0,0,0,0
Minnesota,0,0,0,0
Iowa,0,0,0,0
Missouri,0,0,0,0
North Dakota,0,0,0,0
South Dakota,0,0,0,0
Nebraska,8,6,2,0
Kansas,0,0,0,0
Delaware,1,1,0,0
Maryland,1,1,0,0
Virginia,12,8,4,0
West Virginia,0,0,0,0
North Carolina,11,8,1,2
South Carolina,12,8,4,0
Georgia,104,71,33,0
Florida,188,138,50,0
Kentucky,4,3,1,0
Tennessee,13,11,2,0
Alabama,65,43,22,0
Mississippi,18,11,7,0
Arkansas,16,12,4,0
Louisiana,3,2,1,0
Oklahoma,29,25,4,0
Texas,157,117,40,0
Montana,4,3,1,0
Idaho,2,1,0,1
Wyoming,1,1,0,0
Colorado,0,0,0,0
New Mexico,0,0,0,0
Arizona,23,22,1,0
Utah,9,7,2,0
Nevada,7,7,0,0
Washington,5,5,0,0
Oregon,1,1,0,0
California,28,25,3,0
Alaska,0,0,0,0
Hawaii,0,0,0,0
