state,total,black,white,latino/a,native american,asian,unknown
AL ,196,104,89,2,0,1,0
AZ ,125,16,76,28,3,2,0
AR ,36,20,16,0,0,0,0
CA ,743,268,251,184,12,28,0
CO ,3,3,0,0,0,0,0
DE ,18,11,4,3,0,0,0
FL ,399,154,211,31,1,2,0
GA ,80,40,37,3,0,0,0
ID ,10,0,10,0,0,0,0
IN ,13,3,10,0,0,0,0
KS ,9,3,6,0,0,0,0
KY ,34,6,28,0,0,0,0
LA ,83,55,24,3,0,1,0
MS ,48,26,21,0,0,1,0
MO ,29,10,19,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,10,2,3,5,0,0,0
NV ,78,29,39,8,0,2,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,156,79,63,5,8,1,0
OH ,146,78,63,3,0,2,0
OK ,50,22,23,2,3,0,0
OR ,35,3,27,3,1,0,1
PA ,181,97,65,17,0,2,0
SC ,44,23,20,1,0,0,0
SD ,3,0,3,0,0,0,0
TN ,72,33,36,1,0,2,0
TX ,263,110,74,74,0,5,0
UT ,9,1,5,2,1,0,0
VA ,8,3,4,1,0,0,0
WA ,9,4,5,0,0,0,0
WY ,1,0,1,0,0,0,0
Federal,62,28,25,7,1,1,0
Military ,6,3,3,0,0,0,0
