state,total,black,white,latino/a,native american,asian,unknown
AL ,198,100,94,3,0,1,0
AZ ,127,15,82,25,3,2,0
AR ,38,24,14,0,0,0,0
CA ,727,264,256,170,12,25,0
CO ,4,3,0,1,0,0,0
CT ,11,6,4,1,0,0,0
DE ,18,11,4,3,0,0,0
FL ,413,151,223,36,1,2,0
GA ,97,47,46,4,0,0,0
ID ,13,0,13,0,0,0,0
IN ,12,3,9,0,0,0,0
KS ,10,4,6,0,0,0,0
KY ,34,5,29,0,0,0,0
LA ,88,58,26,3,0,1,0
MD ,5,4,1,0,0,0,0
MS ,48,27,20,0,0,1,0
MO ,48,21,27,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,11,2,4,5,0,0,0
NV ,79,30,40,8,0,1,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,161,83,65,4,8,1,0
OH ,147,76,65,3,1,2,0
OK ,60,25,29,2,4,0,0
OR ,37,4,28,3,1,0,1
PA ,202,116,67,17,0,2,0
SC ,53,29,22,2,0,0,0
SD ,3,0,3,0,0,0,0
TN ,87,37,45,1,2,2,0
TX ,300,121,87,88,0,4,0
UT ,9,1,5,2,1,0,0
VA ,11,4,6,1,0,0,0
WA ,8,4,4,0,0,0,0
WY ,1,0,1,0,0,0,0
Federal ,61,30,24,6,1,0,0
Military ,5,3,2,0,0,0,0
